,Countries,Total Cases,Todays Cases,Total Deaths
1,,"
North America
","2,486,483","+5,050"
2,,"
South America
","1,426,387",+691
3,,"
Europe
","2,214,763","+8,915"
4,,"
Asia
","1,624,490","+7,528"
5,,"
Africa
","245,927","+1,349"
6,,"
Oceania
","8,946",+15
7,,"

",721,
8,,World,"8,007,717","+23,548"
9,1,USA,"2,162,228",
10,2,Brazil,"867,882",
11,3,Russia,"537,210","+8,246"
12,4,India,"332,783",
13,5,UK,"295,889",
14,6,Spain,"291,008",
15,7,Italy,"236,989",
16,8,Peru,"229,736",
17,9,Germany,"187,671",
18,10,Iran,"187,427",
19,11,Turkey,"178,239",
20,12,Chile,"174,293",
21,13,France,"157,220",
22,14,Mexico,"146,837","+4,147"
23,15,Pakistan,"144,478","+5,248"
24,16,Saudi Arabia,"127,541",
25,17,Canada,"98,787",
26,18,Bangladesh,"87,520",
27,19,Qatar,"79,602",
28,20,South Africa,"70,038",
29,21,Belgium,"60,029",
30,22,Belarus,"53,973",
31,23,Sweden,"51,614",
32,24,Colombia,"50,939",
33,25,Netherlands,"48,783",
34,26,Ecuador,"46,751",
35,27,Egypt,"44,598",
36,28,UAE,"42,294",
37,29,Singapore,"40,818",+214
38,30,Indonesia,"38,277",
